code, region
 "North East","http://reference.data.gov.uk/id/public-body/environment-agency/unit/north-east-north-east-office"
 "North West","http://reference.data.gov.uk/id/public-body/environment-agency/unit/north-west-north-west-office"
 "Anglian", "http://reference.data.gov.uk/id/public-body/environment-agency/unit/anglian-anglian-office-anglian-office"
 "South East", "http://reference.data.gov.uk/id/public-body/environment-agency/unit/south-east-south-east-office"
 "South West", "http://reference.data.gov.uk/id/public-body/environment-agency/unit/south-west-south-west-office"
 "Wales","http://reference.data.gov.uk/id/public-body/environment-agency/unit/wales-wales-office"
 "Midlands","http://reference.data.gov.uk/id/public-body/environment-agency/unit/midlands-midlands-office"
"NE","http://reference.data.gov.uk/id/public-body/environment-agency/unit/north-east-north-east-office"
"NW","http://reference.data.gov.uk/id/public-body/environment-agency/unit/north-west-north-west-office"
"AN", "http://reference.data.gov.uk/id/public-body/environment-agency/unit/anglian-anglian-office-anglian-office"
"SE", "http://reference.data.gov.uk/id/public-body/environment-agency/unit/south-east-south-east-office"
"SW", "http://reference.data.gov.uk/id/public-body/environment-agency/unit/south-west-south-west-office"
"WA","http://reference.data.gov.uk/id/public-body/environment-agency/unit/wales-wales-office"
"MI","http://reference.data.gov.uk/id/public-body/environment-agency/unit/midlands-midlands-office"
